Parent,Child,CONVERSION RATE,Parent Description,Child Description,Parent QSU,Child QSU,Parent SU,Child SU
17448400,17448400PK,12,N95 PARTICULTE RESPRATR 240/CS,N95 PARTICULTE RESPRATR 20PK,00240,00020,CS,PK
S2GPT01RE,S2GPT01REEA,12,STERITOP-GP150ML EXPPLUS 12/PK,STERITOP-GP150ML EXPPLUS 1EA,00012,00001,PK,EA
19020424,19020424EA,12,A4 FULLY CTD. CUT RES. GLV,A4 FULLY CTD. CUT RES. GLV SZ7,00012,00001,DZ,EA
19020425,19020425EA,12,A4 FULLY CTD. CUT RES. GLV,A4 FULLY CTD. CUT RES. GLV SZ8,00012,00001,DZ,EA
19020423,19020423EA,12,A4 FULLY CTD. CUT RES. GLV,A4 FULLY CTD. CUT RES. GLV SZ6,00012,00001,DZ,EA
19021889,19021889EA,4,ACID NEUTRALIZER GALS 4/CS,ACID NEUTRALIZER GALS 1EA,00004,00001,CS,EA
08555B,08555BEA,4,CYLINDER WHITE LINE 25ML,CYLINDER WHITE LINE 25ML 1EA,00004,00001,PK,EA
11863E,11863EPK,10,LABEL 3/4X11/2 PRES SEN 5C,LABEL 3/4X11/2 PRES SEN 500PK,05000,00500,CS,PK
07200694,07200694PK,4,LID UNVRSL STERILE BULK 100/CS,LID UNVRSL STERILE BULK 25/PK,00100,00025,CS,PK
07200698,07200698PK,4,96WL PP V-BTM PLTE STRL 100/CS,96WL PP V-BTM PLTE STRL 25/PK,00100,00025,CS,PK
0975422,0975422EA,50,SYR FLT 26MM .8SFCA STRL 50/CS,SYR FLT 28MM .45SFCA STR 1/EA,00050,00001,CS,EA
097546,097546EA,50,SYR FILTR 15MM .2RC STRL 50/CS,SYR FILTR 15MM .2RC STRL 1/EA,00050,00001,CS,EA
0976153,0976153EA,12,BTL TOP FILTER .45UM MEM 12/CS,BTL TOP FILTER .45UM MEM 1/EA,00012,00001,CS,EA
12565475,12565475EA,100,TAPE ALUMINUM SEALING 100/CS,TAPE ALUMINUM SEALING 1/EA,00100,00001,CS,EA
12565570,12565570PK,5,CAP 96WEL PRSLIT/PIERCBL 50/CS,CAP 96WEL PRSLIT/PIERCBL 10/PK,00050,00010,CS,PK
19071177,19071177EA,20,S2001SGAF-BGR CLEAR SGAF,VS300 PROTECTIVE EYEWEAR 1/EA,00020,00001,CS,EA
19125825,19125825EA,8,CLNRM TACKYMAT WH 30LAYER 8CS,CLNRM TACKYMAT WH 30LAYER/EA,00008,00001,CS,EA
2790094,2790094EA,10,WIPESMEDDTYPOPUPDRCWH,WIPES MED POPUP WH 90/EA,00010,00001,CS,EA
0353044,0353044EA,4,ULT MAILER 1.5IN THCK WALL 4PK,ULT MAILER 1.5IN THCK WALL 1EA,00004,00001,PK,EA
03532137,03532137EA,18,0.90 CUFT PUR SHPPR 18/CS,0.90 CUFT PUR SHPPR 1/EA,00018,00001,CS,EA
03600102,03600102EA,36,POLAR PACK GEL PK 16 OZ 36/PK,POLAR PACK GEL PK 16 OZ 1/EA,00036,00001,PK,EA
07000088,07000088PK,4,96W F200PLT PS MB BLK/CLR 40CS,96W F200PLT PS MB BLK/CLR10/PK,00040,00010,CS,PK
19026131,19026131PK,10,BENZENE 0.1-65 PPM 100/CS,BENZENE 0.1-65 PPM 10PK,00100,00010,CS,PK
191300881,191300881P,8,GL 7MIL 12IN DRMSHLD 9 200CS,GL 7MIL 12IN DRMSHLD 9 25PK,00200,00025,CS,PK
19423102,19423102PK,10,GLV CLNRM PF NTRL MD 1000/CS,GLV CLNRM PF NTRL MD 100PK,01000,00100,CS,PK
07000340,07000340PK,4,PLATE 96W UBOT PS CLR NB 40/C,PLATE 96W UBOT PS CLR NB 10PK,00040,00010,CS,PK
2202671,2202671PK,5,FRMLN ABSORB PAD 9X21 30/CS,FRMLN ABSORB PAD 9X21 6PK,00030,00006,CS,PK
22225102,22225102PK,3,TENDRSRB/PAD/BULK/23X36/150CS,TENDRSRB/PAD/BULK/23X36/50PK,00150,00050,CS,PK
501097715,501097715PK,6,UNDERPAD 300/CS 17X24 COVIDIAN,UNDERPAD 50PK 17X24 COVIDIAN,00300,00050,CS,PK
09761104,09761104EA,12,FIL SYS 1L .22UM 90MM CN 12/CS,FIL SYS 1L .22UM 90MM CN 1EA,00012,00001,CS,EA
13681506,13681506PK,10,REAGENT RESERVOIR 25ML DVD ST,REGNT RESRVOR 25ML DVD ST 10PK,00100,00010,CS,PK
14245196P,14245196PPK,5,MICROLIT 1 FLAT BTM PLT 50/CS,MICROLIT 1 FLAT BTM PLT 10PK,00050,00010,CS,PK
21385121,21385121EA,25,RGT RESRVOIR ST 12CH LID 25/CS,RGT RESRVOIR ST 12CH LID 1/EA,00025,00001,CS,EA
07200601,07200601EA,24,PLT 6WELL ULTR LOW ATTCH 24/CS,PLT 6WELL ULTR LOW ATTCH 1EA,00024,00001,CS,EA
50202130,50202130PK,4,2ML ASPIRATING PIPET,2ML ASPIRATING PIPET 100/PK,00400,00100,CS,PK
MK7076500,MK7076500EA,4,POTASS PERSULF A.R.500GM,POTASS PERSULF A.R.500GM EA,00004,00001,CS,EA
509051594,509051594EA,50,CULTUREPLATE-384 NEW 50W,CULTUREPLATE-384 NEW 50W 1EA,00050,00001,CS,EA
05539103,05539103PK,10,VENTFLSK150CM CLLBND LEAD 50CS,VENTFLSK150CM CLL BND LEAD 5PK,00050,00005,CS,PK
0666982,0666982PK,30,IODINE PREP 3S 10/25 750/CS,IODINE PREP 3S 25/PK,00750,00025,CS,PK
19047254,19047254EA,60,SCOTCH-BRITE 7448 60/CS,SCOTCH-BRITE 7448 1/EA,00060,00001,CS,EA
0974044A,0974044AEA,12,SERM FLT UNT .20UM 500ML 12/CS,SERM FLT UNT .20UM 500ML  1EA,00012,00001,CS,EA
19155749,19155749EA,12,EXETER SKY RED AF,EXETER SKY RED AF EA,00012,00001,CS,EA
19036600,19036600EA,10,60 DUSTER RAINCOAT 0.35 MM 2XL,60 DUSTERRAINCOAT0.35MM 2XL EA,00010,00001,CS,EA
19036603,19036603EA,10,60 DUSTER RAINCOAT 0.35 MM 5XL,60 DUSTERRAINCOAT0.35MM 5XL EA,00010,00001,CS,EA
09761147,09761147EA,12,500ML BTL TP 45MM .20NY 12/CS,500ML BTL TP 45MM .20NY 1EA,00012,00001,CS,EA
08774357,08774357PK,2,FLASK T175 ECM MIMETIC COL I P,FLSK T175ECM MIMETICCOL IP 5PK,00010,00005,CS,PK
0181458,0181458PK,6,FLASK 75CM COLLAGEN FILT 30CS,FLASK 75CM COLLAGEN FILT 5PK,00030,00005,CS,PK
02540250,02540250PK,10,BIOTAINER PC 125ML ST LP 50/CS,BIOTAINER PC 125ML ST LP 5PK,00050,00005,CS,PK
02540252,02540252EA,20,BIOTAINER PC 2L ST LP 20/CSBI,BIOTAINER PC 2L ST LP 1EA,00020,00001,CS,EA
08774339,08774339PK,8,BCT COL I T175 VNTCP FLS 40/CS,BCT COL I T175 VNTCP FLS 5PK,00040,00005,CS,PK
17441008,17441008PK,10,PF-065-095-ECO-TL 500/CS-XL,PF-065-095-ECO-TL 50PK,00500,00050,CS,PK
08774330,08774330EA,5,BCT COL I T175 VNT CP FLS 5/CS,BCT COL I T175 VNT CP FLS 1EA,00005,00001,CS,EA
07770212,07770212EA,12,PRX VSTA PETRI DSH 60X15 12/PK,PRX VSTA PETRI DSH 60X15 1EA,00012,00001,PK,EA
502099109,502099109EA,50,CELLCARRIER384 ULTRA MICROPLA,CELLCARIER384 ULTRAMCROPLT 1EA,00050,00001,CS,EA
502335936,502335936PK,40,25CM CELL CULTRE FLASKS 50 V,25CM CELLCULTRE FLSKS 50 V 5PK,00200,00005,CS,PK
